1E+05,6.43599E+00,3.09581E+00
8.37678E+04,6.6324E+00,2.2173E+00
7.01704E+04,6.52686E+00,1.58405E+00
5.87802E+04,6.54531E+00,9.30803E-01
4.92388E+04,6.49916E+00,4.08556E-01
4.12463E+04,6.50406E+00,-1.79613E-01
3.45511E+04,6.63397E+00,-8.43048E-01
2.89427E+04,6.60139E+00,-1.24852E+00
2.42446E+04,6.68655E+00,-1.94368E+00
2.03092E+04,6.87532E+00,-2.61372E+00
1.70125E+04,6.94662E+00,-3.2627E+00
1.4251E+04,7.2005E+00,-4.07799E+00
1.19378E+04,7.35916E+00,-4.89841E+00
1E+04,7.61158E+00,-5.87817E+00
8.37678E+03,7.93385E+00,-6.92913E+00
7.01704E+03,8.25305E+00,-8.19881E+00
5.87802E+03,8.63511E+00,-9.56151E+00
4.92388E+03,9.21838E+00,-1.1185E+01
4.12463E+03,9.97837E+00,-1.30692E+01
3.45511E+03,1.09342E+01,-1.52144E+01
2.89427E+03,1.20744E+01,-1.75934E+01
2.42446E+03,1.3584E+01,-2.02602E+01
2.03092E+03,1.55017E+01,-2.32255E+01
1.70125E+03,1.79951E+01,-2.64716E+01
1.4251E+03,2.10986E+01,-2.99273E+01
1.19378E+03,2.4969E+01,-3.35023E+01
1E+03,2.96724E+01,-3.68948E+01
8.37678E+02,3.51254E+01,-3.99789E+01
7.01704E+02,4.13576E+01,-4.24931E+01
5.87802E+02,4.82393E+01,-4.42003E+01
4.92388E+02,5.54549E+01,-4.50407E+01
4.12463E+02,6.2628E+01,-4.48041E+01
3.45511E+02,6.95602E+01,-4.36142E+01
2.89427E+02,7.5883E+01,-4.16864E+01
2.42446E+02,8.14543E+01,-3.92338E+01
2.03092E+02,8.6362E+01,-3.64945E+01
1.70125E+02,9.04424E+01,-3.3753E+01
1.4251E+02,9.38766E+01,-3.10672E+01
1.19378E+02,9.67991E+01,-2.86965E+01
1E+02,9.92891E+01,-2.66748E+01
8.37678E+01,1.01492E+02,-2.49172E+01
7.01704E+01,1.03462E+02,-2.34313E+01
5.87802E+01,1.05389E+02,-2.23667E+01
4.8E+01,1.07568E+02,-2.15043E+01
4.12463E+01,1.09297E+02,-2.10657E+01
3.45511E+01,1.11335E+02,-2.05476E+01
2.89427E+01,1.13347E+02,-2.01065E+01
2.42446E+01,1.15576E+02,-1.95218E+01
2.03092E+01,1.17839E+02,-1.93356E+01
1.70125E+01,1.20081E+02,-1.88434E+01
1.4251E+01,1.22228E+02,-1.8208E+01
1.19378E+01,1.24307E+02,-1.77314E+01
1E+01,1.26203E+02,-1.6954E+01
8.37678E+00,1.27976E+02,-1.626E+01
7.01704E+00,1.29685E+02,-1.56676E+01
5.87802E+00,1.31382E+02,-1.50712E+01
4.92388E+00,1.32653E+02,-1.46577E+01
4.12463E+00,1.3406E+02,-1.41202E+01
3.45511E+00,1.35396E+02,-1.38287E+01
2.89427E+00,1.36516E+02,-1.36657E+01
2.42446E+00,1.37856E+02,-1.32659E+01
2.03092E+00,1.3894E+02,-1.33352E+01
1.70125E+00,1.3985E+02,-1.3477E+01
1.4251E+00,1.41155E+02,-1.34575E+01
1.19378E+00,1.42474E+02,-1.39573E+01
1E+00,1.43734E+02,-1.41562E+01
8.37678E-01,1.45075E+02,-1.43229E+01
7.01704E-01,1.46528E+02,-1.50799E+01
5.87802E-01,1.4771E+02,-1.52294E+01
4.92388E-01,1.48992E+02,-1.5337E+01
4.12463E-01,1.50519E+02,-1.57117E+01
3.45511E-01,1.5175E+02,-1.63266E+01
2.89427E-01,1.53366E+02,-1.68489E+01
2.42446E-01,1.55241E+02,-1.75448E+01
2.03092E-01,1.5674E+02,-1.8523E+01
1.70125E-01,1.57783E+02,-1.89085E+01
1.4251E-01,1.58611E+02,-1.90872E+01
1.19378E-01,1.59679E+02,-1.92642E+01
1E-01,1.60858E+02,-1.96273E+01